SCHEM_term	CHEBIID	CHEBI_name
(-)-Catechin	33992	(-)-catechin
(2R)-2-Hydroxy-3-(phosphonooxy)-propanal	29052	D-glyceraldehyde 3-phosphate
(R)-3-Hydroxybutyric acid	17066	(R)-3-hydroxybutyric acid
(R)-5-Diphosphomevalonate	15899	(R)-5-diphosphomevalonic acid
(R)-5-Phosphomevalonate	17436	(R)-5-phosphomevalonic acid
(S)-2,3-Epoxysqualene	15441	(S)-2,3-epoxysqualene
(S)-3-Hydroxy-3-methylglutaryl-CoA	15467	(3S)-3-hydroxy-3-methylglutaryl-CoA
(S)-3-Hydroxybutanoyl-CoA	15453	(S)-3-hydroxybutanoyl-CoA
(S)-3-Hydroxydodecanoyl-CoA	27668	(S)-3-hydroxylauroyl-CoA
(S)-3-Hydroxyhexadecanoyl-CoA	27402	(S)-3-hydroxypalmitoyl-CoA
(S)-3-Hydroxytetradecanoyl-CoA	62614	(S)-3-hydroxytetradecanoyl-CoA(4-)
(S)-Hydroxydecanoyl-CoA	28325	(S)-3-hydroxydecanoyl-CoA
(S)-Hydroxyhexanoyl-CoA	28276	(S)-3-hydroxyhexanoyl-CoA
(S)-Hydroxyoctanoyl-CoA	28632	(S)-3-hydroxyoctanoyl-CoA
(S)-Malate	15589	(S)-malate(2-)
1,10-Phenanthroline	44975	1,10-phenanthroline
1,2-Bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid	60888	BAPTA
1,2-Dipalmitoylphosphatidylcholine	72999	1,2-dihexadecanoyl-sn-glycero-3-phosphocholine
1,2-Dithiol-3-thione	50866	3H-1,2-dithiole-3-thione
1,3-Bisphospho-D-glycerate	16001	3-phospho-D-glyceroyl dihydrogen phosphate
1,4-Benzodiazepine	38431	1,4-benzodiazepine
1,5-Dihydro-fad	17877	FADH2
1,7-Dimethylxanthine	25858	1,7-dimethylxanthine
1,7-Phenanthroline	36418	1,7-phenanthroline
1-(5-Isoquinolinesulfonyl)-2-methylpiperazine	43385	5-(2-methylpiperazine-1-sulfonyl)isoquinoline
1-Acyl-2-oleoyl-sn-glycero-3-phosphocholine	58293	1-acyl-2-oleoyl-sn-glycero-3-phosphocholine betaine
1-Alkyl-2-acetyl-sn-glycero-3-phosphocholine	63915	2-acetyl-1-alkyl-sn-glycero-3-phosphocholine betaine
1-Aminomethylphosphonic acid	28812	(aminomethyl)phosphonic acid
1-Butanol	28885	butan-1-ol
1-Deoxynojirimycin	44369	(2R,3R,4R,5S)-2-(hydroxymethyl)piperidine-3,4,5-triol
1-Methyl-3-isobutylxanthine	34795	3-isobutyl-1-methyl-7H-xanthine
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	17963	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine
1-Methyl-4-phenylpyridinium	641	N-methyl-4-phenylpyridinium
1-Methyl-delta(1)-pyrrolinium	27435	1-methylpyrrolinium
1-Organyl-2-lyso-sn-glycero-3-phosphocholine	30909	1-alkyl-sn-glycero-3-phosphocholine
1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate	16152	1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate
1-Phosphatidyl-D-myo-inositol	16749	1-phosphatidyl-1D-myo-inositol
1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate	18348	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
10-Formyltetrahydrofolylpolyglutamate	28010	10-formyltetrahydrofolyl polyglutamate macromolecule
11-deoxycorticosterone	16973	11-deoxycorticosterone
11-deoxycortisol	28324	11-deoxycortisol
12-Hpete	15626	12(S)-HPETE
12-Hydroxy-5,8,10,14-eicosatetraenoic acid	19138	12-HETE
17alpha-hydroxypregnenolone	28750	17alpha-hydroxypregnenolone
17alpha-hydroxyprogesterone	17252	17alpha-hydroxyprogesterone
18-Hydroxycorticosterone	16485	18-hydroxycorticosterone
1D-myo-Inositol 1,3,4,5-tetrakisphosphate	16783	1D-myo-inositol 1,3,4,5-tetrakisphosphate
1H-Imidazole-4-acetaldehyde	27398	imidazole-4-acetaldehyde
2'-Deoxy-5'-adenosine monophosphate	17713	dAMP
2'-Deoxyadenosine	17256	2'-deoxyadenosine
2'-Deoxycytidine 5'-triphosphate	16311	dCTP
2'-Deoxyguanosine 5'-phosphate	16192	dGMP
2,2'-Dipyridyl	30351	2,2'-bipyridine
2,3-Dimethoxy-1,4-naphthoquinone	64215	2,3-dimethoxynaphthalene-1,4-dione
2-(alpha-Hydroxyethyl)thiamine diphosphate	978	2-(1-hydroxyethyl)thiamine diphosphate
2-Acylglycerol	17389	2-monoglyceride
2-Aminoisobutyric acid	27971	2-aminoisobutyric acid
2-Arachidonoylglycerol	52392	2-arachidonoylglycerol
2-Benzoquinone	17253	1,2-benzoquinone
2-Deoxy-D-ribose 1-phosphate	28542	2-deoxy-D-ribofuranose 1-phosphate
2-Formyl-5-(hydroxymethyl)pyrrole-1-norleucine	59973	1-(L-norleucin-6-yl)pyrraline
2-Hydroxybutyric acid	1148	2-hydroxybutyric acid
2-Methoxyestradiol	28955	2-methoxy-17beta-estradiol
2-Methylcitric acid	30835	2-methylcitric acid
2-Nitrotoluene	33098	2-nitrotoluene
2-Oxoglutarate	16810	2-oxoglutarate(2-)
2-Phospho-D-glycerate	17835	2-phospho-D-glyceric acid
2-Phosphoglycolate	19763	2-phosphoglycolate
2-trans-Dodecenoyl-CoA	15471	trans-dodec-2-enoyl-CoA
20-Hydroxycholesterol	1296	20-hydroxycholesterol
22beta-Hydroxycholesterol	67237	(22R)-22-hydroxycholesterol
24-Hydroxycholesterol	50515	24-hydroxycholesterol
25-Hydroxycholesterol	42977	25-hydroxycholesterol
27-Hydroxycholesterol	17703	26-hydroxycholesterol
3',5'-Cyclic dAMP	28074	3',5'-cyclic dAMP
3,3'-Diindolylmethane	50182	3,3'-diindolylmethane
3,3-Dimethylallyl pyrophosphate	16057	prenyl diphosphate
3,4,3',4'-Tetrachlorobiphenyl	1367	3,3',4,4'-tetrachlorobiphenyl
3,4-Dihydroxymandelaldehyde	27852	3,4-dihydroxymandelaldehyde
3,4-Dihydroxymandelic acid	27637	3,4-dihydroxymandelic acid
3,4-Dihydroxyphenylacetaldehyde	27978	3,4-dihydroxyphenylacetaldehyde
3,4-Dihydroxyphenylacetic acid	41941	(3,4-dihydroxyphenyl)acetic acid
3,6-diaziridinyl-1,4-benzoquinone	19363	2,5-bis(aziridin-1-yl)-1,4-benzoquinone
3-Aminobenzamide	64042	3-aminobenzamide
3-Aminobenzoic acid	42682	3-aminobenzoic acid
3-Aminopropionaldehyde	18090	3-aminopropanal
3-Carboxy-1-hydroxypropyl-ThPP	1463	3-carboxy-1-hydroxypropylthiamine diphosphate
3-Chlorotyrosine	53678	3-chloro-L-tyrosine
3-Deoxyglucosone	60777	3-deoxyglucosone
3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	15786	3-hydroxy-N(6),N(6),N(6)-trimethyl-L-lysine
3-Hydroxyacyl-CoA	65260	3-hydroxyacyl-CoA
3-Hydroxybutyric acid	20067	3-hydroxybutyric acid
3-Hydroxydecanoyl-coenzyme A	28325	(S)-3-hydroxydecanoyl-CoA
3-Hydroxyflavone	5078	flavonol
3-Hydroxyisobutyric acid	18064	3-hydroxyisobutyric acid
3-Hydroxykynurenamine	27421	3-Hydroxykynurenamine
3-Hydroxyoctanoic acid	37098	3-hydroxyoctanoic acid
3-Hydroxyproline	20056	3-hydroxy-L-proline
3-Ketohexanoyl-coenzyme A	27648	3-oxohexanoyl-CoA
3-ketosphinganine	46966	2-amino-1-hydroxyoctadecan-3-one
3-Methoxy-4-hydroxyphenylacetaldehyde	28111	(4-hydroxy-3-methoxyphenyl)acetaldehyde
3-Methoxy-4-hydroxyphenylglycolaldehyde	27932	3-Methoxy-4-hydroxyphenylglycolaldehyde
3-Methyladenine	38635	3-methyladenine
3-Methyleneindolenine	63905	3-methyleneindolenine
3-Methylhistidine	70959	3-methylhistidine
3-methylindole	9171	skatole
3-Nitropropionic acid	16348	3-nitropropanoic acid
3-Nitrotyrosine	44454	3-nitro-L-tyrosine
3-Oxocholan-24-oic acid	17639	3-oxo-5beta-cholanic acid
3-Oxodecanoyl-CoA	62548	3-oxodecanoyl-CoA(4-)
3-Oxododecanoyl-CoA	27868	3-oxolauroyl-CoA
3-Oxooctanoyl-CoA	28264	3-oxooctanoyl-CoA
3-Oxopalmitoyl-CoA	15491	3-oxopalmitoyl-CoA
3-Oxotetradecanoyl-CoA	62543	3-oxotetradecanoyl-CoA(4-)
3-Phospho-D-glycerate	58272	3-phosphonato-D-glycerate(3-)
3-Phospho-D-glyceroyl phosphate	16001	3-phospho-D-glyceroyl dihydrogen phosphate
3-Phosphoglycerate	17050	3-phosphoglyceric acid
3-trans-decenoyl-CoA	29126	trans-dec-3-enoyl-CoA
3-Ureidoisobutyrate	74414	3-ureidoisobutyrate(1-)
4,4-dimethylcholesta-8(9),14,24-trien-3beta-ol	17813	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
4,4-dimethylcholesta-8(9),24-dien-3beta-ol	18364	14-demethyllanosterol
4,6-Dihydroxyquinoline	28799	quinoline-4,6-diol
4,8-Dihydroxyquinoline	28883	quinoline-4,8-diol
4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone	32692	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one
4-Amino-1,8-naphthalimide	40071	4-amino-1,8-naphthalimide
4-Aminobiphenyl	1784	biphenyl-4-amine
4-Aminobutyraldehyde	17769	4-aminobutanal
4-Biphenylamine	1784	biphenyl-4-amine
4-Coumaric acid	36090	4-coumaric acid
4-Hydroxy-2-nonenal	32585	4-hydroxynon-2-enal
4-Hydroxycyclophosphamide	1864	4-hydroxycyclophosphamide
4-Hydroxyestradiol-17beta	62845	4-hydroxy-17beta-estradiol
4-Hydroxyphenylacetaldehyde	15621	(4-hydroxyphenyl)acetaldehyde
4-hydroxyphenytoin	63804	4-hydroxyphenytoin
4-Hydroxytamoxifen	44616	afimoxifene
4-hydroxytolbutamide	63799	4-hydroxytolbutamide
4-Nitroquinoline-1-oxide	16907	4-nitroquinoline N-oxide
