#[Header]										
#Keyword=SCHEM										
#NameString=Selventa Legacy Chemical Names										
#DomainString=Chemical										
#SpeciesString=all										
#DescriptionString=Selventa names for chemicals, drugs, and other molecule abundances. It is not recommended that new BEL Documents include reference to any of these legacy namespaces.										
#VersionString=20140225										
#[Values]										
ID	ALTIDS	LABEL	SYNONYMS	DESCRIPTION	TYPE	SPECIES	XREF	OBSOLETE	PARENTS	CHILDREN
A0001		( -)-Ibuprofen			A		CHEBI:5855			
A0002		(-)-Catechin			A		CHEBI:33992			
A0003		"(14)C-9,10-dihydroxystearic acid"			A					
A0004		"(14)C-cis-9,10-epoxystearic acid"			A					
A0005		"(2E,4E,6Z)-7-(2-alkoxy-3,5-dialkylbenzene)-3-methylocta-2,4,6-trienoic acid"			A					
A0006		(2R)-2-Hydroxy-3-(phosphonooxy)-propanal			A		CHEBI:29052			
A0007		"(3,4-Dihydroxyphenylamino)-2-imidazoline"			A		MESHC:C011775			
A0008		"(5alpha)-7,8-Didehydro-4,5-epoxy-3-hydroxymorphinan-6-one"			A					
A0009		"(6-(4-(2-piperidin-1-ylethoxy)phenyl))-3-pyridin-4-ylpyrazolo(1,5-a)pyrimidine"			A		MESHC:C516138			
A0010		(R)-3-Hydroxybutyric acid			A		CHEBI:17066			
A0011		(R)-5-Diphosphomevalonate			A		CHEBI:15899			
A0012		(R)-5-Phosphomevalonate			A		CHEBI:17436			
A0013		"(S)-2,3-Epoxysqualene"			A		CHEBI:15441			
A0014		(S)-3-Hydroxy-3-methylglutaryl-CoA			A		CHEBI:15467			
A0015		(S)-3-Hydroxybutanoyl-CoA			A		CHEBI:15453			
A0016		(S)-3-Hydroxydodecanoyl-CoA			A		CHEBI:27668			
A0017		(S)-3-Hydroxyhexadecanoyl-CoA			A		CHEBI:27402			
A0018		(S)-3-Hydroxytetradecanoyl-CoA			A		CHEBI:27466			
A0019		(S)-Hydroxydecanoyl-CoA			A		CHEBI:28325			
A0020		(S)-Hydroxyhexanoyl-CoA			A		CHEBI:28276			
A0021		(S)-Hydroxyoctanoyl-CoA			A		CHEBI:28632			
A0022		(S)-Malate			A		CHEBI:15589			
A0023		"(S,R)-3-(4-hydroxyphenyl)-4,5-dihydro-5-isoxazole acetic acid methyl ester"			A					
A0024		"(Z,Z,Z)-Icosatri-8,11,14-enoic acid"			A					
A0025		05141 Cathepsin S inhibitor			A					
A0026		"1,10-Bis(carboxymethylthiodecane)"			A		MESHC:C062079			
A0027		"1,10-Phenanthroline"			A		CHEBI:44975			
A0028		"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ion(3-)"			A					
A0029		"1,2-Bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester"			A		MESHC:C070379			
A0030		"1,2-Bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid"			A		CHEBI:60888			
A0031		"1,2-Dipalmitoylphosphatidylcholine"			A		CHEBI:18899			
A0032		"1,2-Dithiol-3-thione"			A		CHEBI:50866			
A0033		"1,25-Dihydroxy-previtamin D(3)"			A		MESHC:C025169			
A0034		"1,25-Dihydroxyvitamin D"			A		MESHC:C097949			
A0035		"1,3-Bisphospho-D-glycerate"			A		CHEBI:16001			
A0036		"1,3-Cyclopentanedicarboxylic acid"			A					
A0037		"1,3-Dimethylthiourea"			A		MESHC:C038983			
A0038		"1,3-Disubstituted Urea"			A					
A0039		"1,3-diphenyl-2-oxiranyl propanone"			A					
A0040		"1,4-Benzodiazepine"			A		CHEBI:38431			
A0041		"1,4-Bis(2-(3,5-dichloropyridyloxy))benzene"			A		MESHC:C028474			
A0042		"1,5-Dihydro-fad"			A		CHEBI:17877			
A0043		"1,6-Bismaleimidohexane"			A		MESHC:C075594			
A0044		"1,7-Dimethylxanthine"			A		CHEBI:25858			
A0045		"1,7-Phenanthroline"			A		CHEBI:36418			
A0046		1-(3-C-Ethynyl-beta-D-ribo-pentofuranosyl)cytosine			A					
A0047		1-(5-Isoquinolinesulfonyl)-2-methylpiperazine			A		CHEBI:43385			
A0048		1-(Carboxymethylthio)tetradecane			A		MESHC:C062078			
A0049		1-Acyl-2-oleoyl-sn-glycero-3-phosphocholine			A		CHEBI:17848			
A0050		1-Alkyl-2-acetyl-sn-glycero-3-phosphocholine			A		CHEBI:36707			
A0051		1-Aminomethylphosphonic acid			A		CHEBI:28812			
A0052		1-Benzylimidazole			A		MESHC:C017062			
A0053		1-Butanol			A		CHEBI:28885			
A0054		1-Deoxynojirimycin			A		CHEBI:44369			
A0055		1-Hexadecyl-2-acetyl-glycero-3-phosphocholine			A		MESHC:C037145			
A0056		1-Methyl-3-isobutylxanthine			A		CHEBI:34795			
A0057		"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine"			A		CHEBI:17963			
A0058		1-Methyl-4-phenylpyridinium			A		CHEBI:641			
A0059		1-Methyl-delta(1)-pyrrolinium			A		CHEBI:27435			
A0060		1-Methylimidazol-3-ylacetaldehyde			A		MESHC:C038563			
A0061		1-Nitropyrene			A		CHEBI:34107			
A0062		1-Nitroso-1-(2-hydroxypropyl)-3-(2-chloroethyl)urea			A		MESHC:C059882			
A0063		1-O-Hexadecyl-2-arachidonyl-sn-glycero-3-phosphocholine			A		MESHC:C043051			
A0064		1-Oleoyl-2-acetylglycerol			A		MESHC:C038237			
A0065		1-Organyl-2-lyso-sn-glycero-3-phosphocholine			A		CHEBI:30909			
A0066		"1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate"			A		CHEBI:16152			
A0067		1-Phosphatidyl-D-myo-inositol			A		CHEBI:16749			
A0068		"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate"			A		CHEBI:18348			
A0069		"1-Propene-1,2,3-tricarboxylic acid, (1Z)-"			A					
A0070		1-hexanediol			A					
A0071		10-Formyltetrahydrofolylpolyglutamate			A		CHEBI:28010			
A0072		"11,12-Epoxy-5,8,14-eicosatrienoic acid"			A		MESHC:C046783			
A0073		"11-Deoxy-16-phenoxy-17,18,19,20-tetranorprostaglandin E1"			A		MESHC:C032405			
A0074		11-deoxycorticosterone			A		CHEBI:16973			
A0075		11-deoxycortisol			A		CHEBI:28324			
A0076		12-Hpete			A		CHEBI:15626			
A0077		"12-Hydroxy-5,8,10,14-eicosatetraenoic acid"			A		CHEBI:19138			
A0078		"12-Hydroxy-5,8,14-eicosatrienoic acid"			A		MESHC:C067514			
A0079		"12-O-Tetradeca-2,4,6,8-tetranoylphorbol-13-acetate"			A		MESHC:C032975			
A0080		"13-Hydroperoxy-9,11-octadecadienoic acid"			A		MESHC:C038649			
A0081		"13-Hydroxy-9,11-octadecadienoic acid"			A		MESHC:C024348			
A0082		"14,15-Epoxy-5,8,11-eicosatrienoic acid"			A		MESHC:C046782			
A0083		"15-Hydroperoxy-5,8,11,13-eicosatetraenoic acid"			A		MESHC:C025086			
A0084		"15-Hydroxy-5,8,11,13,17-eicosapentaenoic acid"			A		MESHC:C059164			
A0085		"15-Hydroxy-5,8,11,13-eicosatetraenoic acid"			A		MESHC:C025984			
A0086		"15-deoxy-D12,14-prostaglandin J2"			A					
A0087		"17, 21-Dihydroxypregnenolone"			A		MESHC:C015823			
A0088		17alpha-hydroxypregnenolone			A		CHEBI:28750			
A0089		17alpha-hydroxyprogesterone			A		CHEBI:17252			
A0090		18-Hydroxycorticosterone			A		CHEBI:16485			
A0091		"18-alpha-Olean-12-en-30-oic acid, 3-beta-hydroxy-11-oxo-"			A					
A0092		19-Norprogesterone			A		MESHC:C030703			
