#[Header]																	
#Keyword=SDIS																	
#NameString=Selventa Legacy Disease Names																	
#DomainString=Biological Process																	
#SpeciesString=all																	
#DescriptionString=Selventa legacy names for diseases. It is not recommended that new BEL Documents include reference to any of these legacy namespaces.																	
#VersionString=20140224																	
#																	
#[Values]																	
ID	ALTIDS	LABEL	SYNONYMS	DESCRIPTION	TYPE	SPECIES	XREF	OBSOLETE	PARENTS	CHILDREN							
D0003		Acidification	pH reduction		B		GOBP:0045851										
D0168		activated t cell extravasation			B												
D0169		activated t cell tethering / rolling			B												
D0170		acute endotoxemia			O												
D0171		acute lymphoblastic leukemia			O		DO:9952										
D0172		acute myelogenous leukemia			O		DO:9119										
D0004		Acute Myocardial Infarction			O		DO:9408										
D0173		acute phase reaction			O												
D0174		adenocarcinoma			O		DO:299										
D0175		adenoma			O		DO:657										
D0176		adipocyte lipid droplet			A												
D0177		adipocyte lipolysis			B												
D0178		adipose glucose import			B												
D0179		adipose insulin receptor signaling pathway			B												
D0005		Adult Liver Hematopoiesis			B		GOBP:0030097|MESHPP:D006410										
D0180		advanced Adenocarcinoma			O												
D0006		Alzheimers disease			O		DO:10652										
D0181		amyotrophic lateral sclerosis			O		DO:332										
D0182		anchorage-independent growth			B												
D0007		Androgen independence			O												
D0183		anemia			O		DO:2355										
D0184		aneurysm formation			O		DO:2403										
D0185		ankylosing spondylitis			O		DO:7147										
D0001		APOB folding			B												
D0186		arteritis			O												
D0187		astrocytoma			O		DO:3069										
D0008		Atherogenesis			O		DO:1936										
D0009		Atherosclerotic lesion			O												
D0002		ATP Depletion			O												
D0188		atrial fibrillation			O												
D0189		atrophy			O												
D0190		autoimmunity			O		DO:417										
D0010		B cell lymphoma			O		DO:707										
D0011		B cell polarization	establishment of B cell polarity		B		GOBP:0001769										
D0192		bacterial infection			O												
D0193		barrett esophagus			O		DO:9206										
D0194		basophil extravasation			B												
D0191		b-cell migration			B												
D0195		bile duct ligation			O		DO:4138										
D0196		blood flow			B												
D0197		bradycardia			O												
D0198		breast cancer metastasis			O												
D0199		burn injury			O												
D0200		cachexia			O		MESHD:D002100										
D0201		calcification			O												
D0202		calpain activation			B												
D0203		cancer			O		DO:162										
D0015		Carcinoma of astrocyte			O												
D0016		Carcinoma of bone			O												
D0017		Carcinoma of brain			O		DO:1319										
D0018		Carcinoma of breast			O		DO:3459										
D0019		Carcinoma of endometrium			O		DO:2871										
D0204		carcinoma of epithelium			O												
D0020		Carcinoma of esophagus			O		DO:1107										
D0021		Carcinoma of gastrointestinal tract			O		DO:3119										
D0022		Carcinoma of germ cell			O		DO:2994										
D0014		Carcinoma of Hepatocyte			O		DO:684										
D0023		Carcinoma of intestine			O												
D0024		Carcinoma of kidney			O		DO:4451										
D0025		Carcinoma of large intestine			O		DO:5672										
D0205		carcinoma of liver			O		DO:3571										
D0206		carcinoma of lung			O		DO:3905										
D0026		Carcinoma of lymphocyte			O												
D0027		Carcinoma of melanocyte			O		DO:1909										
D0028		Carcinoma of mouth			O		DO:8618										
D0029		Carcinoma of muscle			O		DO:4045										
D0030		Carcinoma of myeloid cell			O												
D0031		Carcinoma of nasopharynx			O		DO:9261										
D0032		Carcinoma of nervous system			O												
D0033		Carcinoma of pancreas			O		DO:4905										
D0207		carcinoma of prostate gland			O												
D0034		Carcinoma of rectum			O		DO:1993										
D0035		Carcinoma of skin			O		DO:3451										
D0208		carcinoma of squamous cell			O												
D0209		carcinoma of stomach			O		DO:5517										
D0036		Carcinoma of t-cell			O												
D0037		Carcinoma of thymus			O												
D0038		Carcinoma of thyroid gland			O		DO:1781										
D0039		Carcinoma of uterus			O												
D0210		cardiac arrhythmia			O												
D0211		cardiac pacemaker activity			O												
D0212		cardiomyocyte hypertrophy			O												
D0040		Cardiomyopathy			O		DO:0050700										
D0213		castration			O												
D0012		CD4+CD3+TCR+ naive T-cell differentiation			B												
D0013		CD8+CD3+TCR+ naive T-cell differentiation			B												
D0214		cell scattering			B												
D0215		cell senescence			B												
D0041		Cftr maturation			B												
D0216		chondrogenesis			B												
D0217		chronic myeloid leukemia			O		DO:8552										
D0042		Chronic Obstructive Pulmonary Disease			O		DO:3083										
D0043		Chylomicron secretion			O												
D0218		cirrhosis			O		DO:5082										
D0044		Cisplatin resistance			O												
D0219		classical focal adhesion			A												
D0220		clot formation			O												
D0221		colitis			O		DO:8577										
D0045		Collagen VI Mm			C		GOCC:0005589										
D0046		Colonic Mucosal Wound Healing			O												
D0222		colorectal adenoma			O		DO:9256										
D0223		congestive heart failure			O		DO:6000										
D0047		Crohn's Disease			O		DO:8778										
D0224		cyclic stretch			B												
D0225		cystic fibrosis			O		DO:1485										
D0048		Cytotoxic T-cell activation			O												
D0050		Deep Venous Thrombosis			O		MESHD:D020246										
D0226		degranulation		cell degranulation	B		MESHPP:D015550										
