#[Header]										
#Keyword=SCOMP										
#NameString=Selventa Named Complexes										
#DomainString=Cell Components and Complexes										
#SpeciesString=9606, 10090, 10116										
#DescriptionString=Selventa-defined names of protein complexes.										
#VersionString=20140224										
#										
#[Values]										
ID	ALTIDS	LABEL	SYNONYMS	DESCRIPTION	TYPE	SPECIES	XREF	OBSOLETE	PARENTS	CHILDREN
C0001		9-1-1 Complex			C		GOCC:0030896			
C0002		AMP Activated Protein Kinase Complex	AMP-activated protein kinase		C		GOCC:0031588			
C0003		AP-1 Complex	AP-1 transcription factor	See http://en.wikipedia.org/wiki/AP-1_transcription_factor.	C		GOCC:0035976			
C0004		ATP Dependent Potassium Channel Complex			C		GOCC:0008282			
C0005		Acetyl CoA Carboxylase Complex			C		GOCC:0009317			
C0006		Acetylcholine Current Channel Complex			C		GOCC:0005892			
C0007		Adaptor Protein I Complex			C		GOCC:0030121			
C0008		Adaptor Protein II Complex			C		GOCC:0030122			
C0009		Adaptor Protein III Complex			C		GOCC:0030123			
C0010		Anaphase Promoting Complex			C		GOCC:0005680			
C0011		Annexin II Heterotetramer Complex			C					
C0012		Arp2/3 Protein Complex			C		GOCC:0005885			
C0013		BK Channel Complex			C					
C0014		Branched Chain Alpha Keto Acid Dehydrogenase Complex			C		GOCC:0017086			
C0015		C1 Complex			C		GOCC:0005602			
C0016		C1q Complex			C		GOCC:0005602			
C0017		C3 Convertase Complex			C		GOCC:0005601			
C0018		C5 Convertase Complex			C		GOCC:0005601			
C0019		CAMK2 Complex			C		GOCC:0005954			
C0020		CBF3 Complex			C		GOCC:0031518			
C0021		CCT Complex			C		GOCC:0005832			
C0022		CD3 Complex			C					
C0023		CD8 Complex			C					
C0024		CHRN Complex			C		GOCC:0005892			
C0025		CK II Complex			C		GOCC:0005956			
C0026		CRSP Complex			C					
C0027		CSNK2 Complex			C		GOCC:0005956			
C0028		Ca Activated Chloride Channel Complex			C					
C0029		Ca Activated Potassium Channel Complex			C					
C0030		Calcineurin Complex			C		GOCC:0005955			
C0031		Clathrin Complex			C		GOCC:0071439			
C0032		CoA Ligase GDP Complex			C		GOCC:0045244			
C0033		Cohesin Complex			C		GOCC:0008278			
