#[Header]										
#Keyword=SFAM										
#NameString=Selventa Protein Families										
#DomainString=Gene/Protein										
#SpeciesString=9606, 10090, 10116										
#DescriptionString=Selventa-defined names of protein families. Each family represents a group of related proteins.										
#VersionString=20140212										
#										
#[Values]										
ID	ALTIDS	LABEL	SYNONYMS	DESCRIPTION	TYPE	SPECIES	XREF	OBSOLETE	PARENTS	CHILDREN
F0001		14-3-3 Family			P					
F0002		ACAD Family	acyl-CoA dehydrogenase		P					
F0003		Acetyl-CoA Synthetase Family	ACSL family	Same as ACSL family.	P					
F0004		ACOX Family	acyl-CoA oxidase		P					
F0005		ACSL Family	acetyl-CoA synthetase 	Same as 'Acetyl-CoA Synthetase Family'	P					
F0006		ACT Family	actin family|actin	"For 'actin', use GO Cellular Component term 'filamentous actin'."	P					
F0007		ACTN Family	alpha-actinin		P					
F0008		ADCY Family	adenylyl cyclase family		P					
F0009		ADH Family	alcohol dehydrogenase		P					
F0010		ADRA Family	alpha adrenergic receptor family	"Note, alpha 1 and alpha 2 members are not paralogs."	P					
F0011		ADRA2 Family	alpha-2 adrenergic receptor		P					
F0012		ADRB Family	beta-adrenergic receptor|beta adrenergic receptor		P					
F0013		ADRBK Family	beta-adrenergic receptor kinase		P					
F0014		AKT Family			P					
F0015		ALDH Family	aldehyde dehydrogenase		P					
F0016		ALDO Family	aldolase|fructose-bisphosphate aldolase		P					
F0017		APOA Family			P					
F0018		ARRB Family	beta arrestin family		P					
F0019		ATP2A Family	SERCA ATPase family		P					
F0020		ATP5G Family	ATPase C chain family		P					
F0021		AXIN Family			P					
F0022		BIRC Family	IAP family|inhibitor of apoptosis	See http://en.wikipedia.org/wiki/Inhibitor_of_apoptosis.	P					
F0023		BMP Family	bone morphogenic protein		P					
F0024		BMP Receptor Type I Family	bone morphogenic protein receptor type II		P					
F0025		BMP Receptor Type II Family	bone morphogenic protein receptor type I		P					
F0026		CALM Family	calmodulin		P					
F0027		CAMK Family			P					
F0028		CAMK2 Family	calcium/calmodulin-dependent protein kinase II		P					
F0029		CAPN Family	calpain large chain family|calpain|peptidase C2 family	See http://en.wikipedia.org/wiki/Calpain.	P					
F0030		Carboxylesterase Family		Members have EC 3.1.1.1 (carboxylesterase) activity. See http://en.wikipedia.org/wiki/Carboxylesterase.	P					
F0031		CASP Family	caspase family|caspase|peptidase C14A family		P					
F0032		CAV Family	caveolin family|caveolin		P					
F0033		CCNA Family	cyclin A family|cyclin A		P					
F0034		CCND Family	cyclin D family|cyclin D		P					
F0035		CCNE Family	cyclin E family|cyclin E		P					
F0036		CD16 Family		"CD16 is a low affinity Fc receptor family, including members FCGR3A and FCGR3B."	P					
F0037		CD32 Family		CD32 is a low affinity surface receptor for IgG in B cells.	P					
F0038		CD64 Family			P					
F0039		CDC25 Family	MPI phosphatase family		P					
F0040		CDH Family	cadherin		P					
F0041		CEBP Family	C/EBP family|CCAAT-enhancer-binding protein	See http://en.wikipedia.org/wiki/C/EBP. 	P					
F0042		Chemokine Receptor Family			P					
F0043		Cholinesterase Family			P					
F0044		CHRM Family	muscarinic acetylcholine receptor family	See http://en.wikipedia.org/wiki/Muscarinic_acetylcholine_receptor. 	P					
F0045		COL1 Family	collagen type I	"Consider using GO Cellular Component term ""collagen type I"" (refers to heterotrimer)"	P					
F0046		COL4 Family	collagen type IV	"Consider using GO Cellular Component term ""collagen type IV"" (refers to heterotrimer)"	P					
F0047		COL5 Family	collagen type V	"Consider using GO Cellular Component term ""collagen type V"" (refers to heterotrimer)"	P					
F0048		COX4 Family	cytochrome-c oxidase chain IV|cytochrome c oxidase IV family		P					
F0049		COX6A Family	"cytochrome-c oxidase, subunit VIa "		P					
F0050		COX6B Family	"cytochrome-c oxidase, subunit VIb"		P					
F0051		COX7A Family	cytochrome-c oxidase chain VIIb		P					
F0052		COX7B Family	cytochrome-c oxidase chain VIII		P					
F0053		COX8 Family	cytochrome-c oxidase chain VIIa		P					
F0054		CREB Family	cAMP response element-binding protein (CREB)		P					
F0055		CRISP Family	cysteine-rich secretory protein	See http://en.wikipedia.org/wiki/Cysteine-rich_secretory_protein. 	P					
F0056		CSNK1 Family	casein kinase I family| CK1 family	See http://en.wikipedia.org/wiki/Casein_kinase_1. 	P					
F0057		CSNK2 Family	CK2 family	"Consider using GO Cellular Component term ""protein kinase CK2 complex"";  this family term refers to the catalytic (alpha) subunit only. See http://en.wikipedia.org/wiki/Casein_kinase_2. "	P					
F0058		CTNNA Family	alpha catenin		P					
F0059		CUL Family	cullin		P					
F0060		Cu-Zn SOD Family	copper-zinc superoxide dismutase family		P					
F0061		CXCL ELR-Negative Family	ELR-positive CXC Chemokine Family	"ELR negative CXC chemokines have a CXC (cysteine-any amino acid-cysteine) motif, but lack the N-terminal ELR (glutamate-leucine-arginine) motif."	P					
F0062		CXCL ELR-Positive Family	ELR-negative CXC chemokine family	ELR positive CXC chemokines have an N-terminal ELR (glutamate-leucine-arginine) motif and a CXC (cysteine-any amino acid-cysteine) motif. 	P					
F0063		Cyclophilin Family			P					
F0064		DDR Family	discoidin domain-containing receptor		P					
F0065		Desmoglein Family			P					
F0066		DGK Family	diacylglycerol kinase|eukaryotic diacylglycerol kinase family		P					
F0067		DNM Family	dynamin family		P					
F0068		DRD Family	dopamine receptor		P					
F0069		DVL Family	dishevelled family|DSH family|dishevelled	See http://en.wikipedia.org/wiki/Dishevelled. 	P					
F0070		E2F Family			P					
F0071		EDN Family	endothelin family		P					
F0072		EGFR Ligand Family			P					
F0073		EGFR/ERBB Family	EGF receptor family		P					
F0074		EGR Family	early growth response family		P					
F0075		EIF4A Family	translation initiation factor eIF-4A		P					
F0076		EIF4EBP Family	EIF4E-binding protein family		P					
F0077		ELA Family	elastase family|elastase		P					
F0078		ENO Family	enolase	See http://en.wikipedia.org/wiki/Enolase. 	P					
F0079		Ephrin Receptor Family			P					
F0080		EPN Family	epsin Family		P					
F0081		ESR Family	estrogen receptor		P					
F0082		ETS Family	ETS transcription factor family	See http://en.wikipedia.org/wiki/ETS_transcription_factor_family.	P					
F0083		FGF Family	fibroblast growth factor		P					
F0084		FGFR Family	fibroblast growth factor receptor		P					
F0085		FLOT Family	flotillin family		P					
F0086		FLRT Family		See PMID 10644439.	P					
F0087		FOXO Family			P					
F0088		FZD Family	frizzled family|frizzled	See http://en.wikipedia.org/wiki/Frizzled.	P					
F0089		GABR Family	GABAA Receptor Family		P					
F0090		GAS6 Receptor Family			P					
F0091		GATA Family		See PMID 11042222; this family of transcription factors binds to the DNA sequence (A/T)GATA(A/G).	P					
F0092		GNA Gq Family	G-alpha G(q) family		P					
F0093		GNA Gs Family	G-alpha G(s) family		P					
F0094		GNAI Family	G-alpha G(i) family		P					
F0095		GNB Family	G-beta family		P					
F0096		GNG Family	G-gamma family		P					
