SDIS_term	DOID	DO_name
retinoblastoma	DOID_768	retinoblastoma
osteoporosis	DOID_11476	osteoporosis
melanoma	DOID_1909	melanoma
rhabdomyosarcoma	DOID_3247	rhabdomyosarcoma
barrett esophagus	DOID_9206	Barrett's esophagus
multiple myeloma	DOID_9538	multiple myeloma
adenocarcinoma	DOID_299	adenocarcinoma
obesity	DOID_9970	obesity
stroke	DOID_3455	cerebrovascular accident
osteosarcoma	DOID_3347	osteosarcoma
hypoglycemia	DOID_9993	hypoglycemia
myeloproliferative disorder	DOID_4960	bone marrow cancer
chronic myeloid leukemia	DOID_8552	chronic myeloid leukemia
leiomyoma	DOID_127	leiomyoma
carcinoma of stomach	DOID_5517	stomach carcinoma
Hyperinsulinemia	DOID_2018	hyperinsulinism
Carcinoma of esophagus	DOID_1107	esophageal carcinoma
Carcinoma of pancreas	DOID_4905	pancreatic carcinoma
anemia	DOID_2355	anemia
Diabetes	DOID_9351	diabetes mellitus
viral infection	DOID_934	viral infectious disease
osteopetrosis	DOID_13533	osteopetrosis
polycystic kidney disease	DOID_898	polycystic kidney disease
Hypertensive Heart Disease	DOID_11516	hypertensive heart disease
neuroblastoma	DOID_769	neuroblastoma
osteoarthritis	DOID_8398	osteoarthritis
hepatitis	DOID_2237	hepatitis
Carcinoma of rectum	DOID_1993	rectum cancer
Systemic Lupus Erythematosus	DOID_9074	systemic lupus erythematosus
large cell carcinoma	DOID_4552	large cell carcinoma
Crohn's Disease	DOID_8778	Crohn's disease
amyotrophic lateral sclerosis	DOID_332	amyotrophic lateral sclerosis
lung squamous cell carcinoma	DOID_3907	lung squamous cell carcinoma
carcinoma of lung	DOID_3905	lung carcinoma
myocardial infarction	DOID_5844	myocardial infarction
cirrhosis	DOID_5082	liver cirrhosis
hypertension	DOID_10763	hypertension
Chronic Obstructive Pulmonary Disease	DOID_3083	chronic obstructive pulmonary disease
hydrocephalus	DOID_10908	hydrocephalus
cancer	DOID_162	cancer
Inflammatory Bowel Disease	DOID_0050589	inflammatory bowel disease
leukemia	DOID_1240	leukemia
ankylosing spondylitis	DOID_7147	ankylosing spondylitis
tuberculosis	DOID_399	tuberculosis
Carcinoma of skin	DOID_3451	skin carcinoma
glioma	DOID_3070	malignant glioma
vasculitis	DOID_865	vasculitis
Down syndrome	DOID_14250	Down syndrome
lymphopenia	DOID_614	lymphopenia
Myopathy	DOID_423	myopathy
Carcinoma of nasopharynx	DOID_9261	nasopharynx carcinoma
psoriasis	DOID_8893	psoriasis
rheumatoid arthritis	DOID_7148	rheumatoid arthritis
Renal Sclerosis	DOID_11664	nephrosclerosis
medulloblastoma	DOID_3858	medulloblastoma
lung adenocarcinoma	DOID_3910	lung adenocarcinoma
Cardiomyopathy	DOID_0050700	cardiomyopathy
T-cell leukemia	DOID_715	T-cell leukemia
Acute Myocardial Infarction	DOID_9408	acute myocardial infarction
Encephalopathy	DOID_936	brain disease
mesothelioma	DOID_2645	benign mesothelioma
pancreatic ductal carcinoma	DOID_3587	pancreatic ductal carcinoma
astrocytoma	DOID_3069	astrocytoma
non-small cell lung carcinoma	DOID_3908	non-small cell lung carcinoma
polycythemia	DOID_8432	polycythemia
long QT syndrome	DOID_2843	long QT syndrome
Ulcerative Colitis	DOID_8577	ulcerative colitis
Schizophrenia	DOID_5419	schizophrenia
glomerulonephritis	DOID_2921	glomerulonephritis
Carcinoma of endometrium	DOID_2871	endometrial carcinoma
Carcinoma of kidney	DOID_4451	renal carcinoma
gastric adenocarcinoma	DOID_3717	gastric adenocarcinoma
prostate cancer	DOID_10283	prostate cancer
congestive heart failure	DOID_6000	congestive heart failure
neuropathy	DOID_870	neuropathy
Carcinoma of breast	DOID_3459	breast carcinoma
glioblastoma	DOID_3068	glioblastoma
adenoma	DOID_657	adenoma
cystic fibrosis	DOID_1485	cystic fibrosis
hepatocellular carcinoma	DOID_684	hepatocellular carcinoma
lymphoma	DOID_0060058	lymphoma
small cell carcinoma	DOID_0050685	small cell carcinoma
